sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
1044,1187006834.2548828,0.2548828125,-2047.7451171875,6.9938392984250375e-19,V1,6.9938392984250375e-19,1.0,4.891378813219442e-37
1045,1187006834.255127,0.255126953125,-2047.744873046875,6.813090402015278e-19,V1,6.813090402015278e-19,1.0,4.64182008260327e-37
1046,1187006834.255371,0.25537109375,-2047.74462890625,7.043375475502989e-19,V1,7.043375475502989e-19,1.0,4.960913808891696e-37
1047,1187006834.2556152,0.255615234375,-2047.744384765625,6.899536776784417e-19,V1,6.899536776784417e-19,1.0,4.760360773420071e-37
1048,1187006834.2558594,0.255859375,-2047.744140625,7.092242006229382e-19,V1,7.092242006229382e-19,1.0,5.029989667492457e-37
1049,1187006834.2561035,0.256103515625,-2047.743896484375,7.128871243393367e-19,V1,7.128871243393367e-19,1.0,5.082080520488089e-37
1050,1187006834.2563477,0.25634765625,-2047.74365234375,7.120258218662671e-19,V1,7.120258218662671e-19,1.0,5.069807710043332e-37
1051,1187006834.2565918,0.256591796875,-2047.743408203125,7.1413351769307e-19,V1,7.1413351769307e-19,1.0,5.099866810926783e-37
1052,1187006834.256836,0.2568359375,-2047.7431640625,6.852118668733444e-19,V1,6.852118668733444e-19,1.0,4.695153025040537e-37
1053,1187006834.25708,0.257080078125,-2047.742919921875,7.101130844026277e-19,V1,7.101130844026277e-19,1.0,5.042605926398133e-37
1054,1187006834.2573242,0.25732421875,-2047.74267578125,6.634676029052635e-19,V1,6.634676029052635e-19,1.0,4.401892601048562e-37
1055,1187006834.2575684,0.257568359375,-2047.742431640625,6.924424498743981e-19,V1,6.924424498743981e-19,1.0,4.794765463880581e-37
1056,1187006834.2578125,0.2578125,-2047.7421875,6.670725458464924e-19,V1,6.670725458464924e-19,1.0,4.449857814221208e-37
1057,1187006834.2580566,0.258056640625,-2047.741943359375,7.003146823316628e-19,V1,7.003146823316628e-19,1.0,4.904406542892978e-37
1058,1187006834.2583008,0.25830078125,-2047.74169921875,6.653222957210671e-19,V1,6.653222957210671e-19,1.0,4.426537571835511e-37
1059,1187006834.258545,0.258544921875,-2047.741455078125,6.870416356877343e-19,V1,6.870416356877343e-19,1.0,4.720262091684775e-37
1060,1187006834.258789,0.2587890625,-2047.7412109375,6.823433741226634e-19,V1,6.823433741226634e-19,1.0,4.655924802091011e-37
1061,1187006834.2590332,0.259033203125,-2047.740966796875,6.831052053708043e-19,V1,6.831052053708043e-19,1.0,4.666327216046887e-37
1062,1187006834.259277,0.25927734375,-2047.74072265625,6.834516250742861e-19,V1,6.834516250742861e-19,1.0,4.671061238166825e-37
1063,1187006834.2595215,0.259521484375,-2047.740478515625,6.635729560185565e-19,V1,6.635729560185565e-19,1.0,4.40329067959205e-37
1064,1187006834.2597656,0.259765625,-2047.740234375,6.8618756159438745e-19,V1,6.8618756159438745e-19,1.0,4.708533696868513e-37
1065,1187006834.2600098,0.260009765625,-2047.739990234375,6.436774325528821e-19,V1,6.436774325528821e-19,1.0,4.143206371778699e-37
1066,1187006834.260254,0.26025390625,-2047.73974609375,6.599515195862013e-19,V1,6.599515195862013e-19,1.0,4.355360082041363e-37
1067,1187006834.260498,0.260498046875,-2047.739501953125,6.199225819719351e-19,V1,6.199225819719351e-19,1.0,3.843040076387507e-37
1068,1187006834.2607422,0.2607421875,-2047.7392578125,6.46111939520703e-19,V1,6.46111939520703e-19,1.0,4.174606383912044e-37
1069,1187006834.2609863,0.260986328125,-2047.739013671875,6.0293715844749165e-19,V1,6.0293715844749165e-19,1.0,3.635332170367356e-37
1070,1187006834.2612305,0.26123046875,-2047.73876953125,6.253087972969934e-19,V1,6.253087972969934e-19,1.0,3.910110919770122e-37
1071,1187006834.2614746,0.261474609375,-2047.738525390625,6.107607615841296e-19,V1,6.107607615841296e-19,1.0,3.73028707890826e-37
1072,1187006834.2617188,0.26171875,-2047.73828125,6.189452836420946e-19,V1,6.189452836420946e-19,1.0,3.830932641427928e-37
1073,1187006834.261963,0.261962890625,-2047.738037109375,6.064494489937691e-19,V1,6.064494489937691e-19,1.0,3.6778093418484615e-37
1074,1187006834.262207,0.26220703125,-2047.73779296875,6.012716951587838e-19,V1,6.012716951587838e-19,1.0,3.615276513991173e-37
1075,1187006834.2624512,0.262451171875,-2047.737548828125,6.28370988806844e-19,V1,6.28370988806844e-19,1.0,3.9485009957409085e-37
1076,1187006834.2626953,0.2626953125,-2047.7373046875,5.86382522081582e-19,V1,5.86382522081582e-19,1.0,3.4384446220275703e-37
1077,1187006834.2629397,0.262939453125,-2047.737060546875,6.038692146807954e-19,V1,6.038692146807954e-19,1.0,3.6465802843920062e-37
1078,1187006834.2631836,0.26318359375,-2047.73681640625,5.774376577993465e-19,V1,5.774376577993465e-19,1.0,3.3343424864479502e-37
1079,1187006834.2634275,0.263427734375,-2047.736572265625,5.960210597903281e-19,V1,5.960210597903281e-19,1.0,3.5524110371358598e-37
1080,1187006834.263672,0.263671875,-2047.736328125,5.368050922870906e-19,V1,5.368050922870906e-19,1.0,2.8815970710535197e-37
1081,1187006834.263916,0.263916015625,-2047.736083984375,5.626163798349615e-19,V1,5.626163798349615e-19,1.0,3.1653719085859772e-37
1082,1187006834.2641602,0.26416015625,-2047.73583984375,5.389975842406493e-19,V1,5.389975842406493e-19,1.0,2.9051839581725584e-37
1083,1187006834.2644043,0.264404296875,-2047.735595703125,5.510276101463068e-19,V1,5.510276101463068e-19,1.0,3.0363142714355027e-37
1084,1187006834.2646484,0.2646484375,-2047.7353515625,5.305947432182026e-19,V1,5.305947432182026e-19,1.0,2.815307815307904e-37
1085,1187006834.2648926,0.264892578125,-2047.735107421875,5.299710961580816e-19,V1,5.299710961580816e-19,1.0,2.8086936276299843e-37
1086,1187006834.2651367,0.26513671875,-2047.73486328125,5.468954736706471e-19,V1,5.468954736706471e-19,1.0,2.9909465912144142e-37
1087,1187006834.2653809,0.265380859375,-2047.734619140625,5.16765146669159e-19,V1,5.16765146669159e-19,1.0,2.670462168119973e-37
1088,1187006834.265625,0.265625,-2047.734375,5.370974941845525e-19,V1,5.370974941845525e-19,1.0,2.8847371825932546e-37
1089,1187006834.2658691,0.265869140625,-2047.734130859375,5.14391941317811e-19,V1,5.14391941317811e-19,1.0,2.645990692927063e-37
1090,1187006834.2661133,0.26611328125,-2047.73388671875,5.354546385482615e-19,V1,5.354546385482615e-19,1.0,2.8671166994284943e-37
1091,1187006834.2663574,0.266357421875,-2047.733642578125,4.849754571105408e-19,V1,4.849754571105408e-19,1.0,2.35201193999578e-37
1092,1187006834.2666016,0.2666015625,-2047.7333984375,5.127078452701652e-19,V1,5.127078452701652e-19,1.0,2.628693346015757e-37
1093,1187006834.2668457,0.266845703125,-2047.733154296875,4.687525268062086e-19,V1,4.687525268062086e-19,1.0,2.197289313872053e-37
1094,1187006834.2670898,0.26708984375,-2047.73291015625,4.772081409941927e-19,V1,4.772081409941927e-19,1.0,2.277276098311333e-37
1095,1187006834.267334,0.267333984375,-2047.732666015625,4.526091852663986e-19,V1,4.526091852663986e-19,1.0,2.04855074587513e-37
1096,1187006834.267578,0.267578125,-2047.732421875,4.547927455325676e-19,V1,4.547927455325676e-19,1.0,2.068364413890508e-37
1097,1187006834.2678225,0.267822265625,-2047.732177734375,4.549454604444476e-19,V1,4.549454604444476e-19,1.0,2.0697537197901045e-37
1098,1187006834.2680664,0.26806640625,-2047.73193359375,4.44240855130319e-19,V1,4.44240855130319e-19,1.0,1.9734993736691712e-37
1099,1187006834.2683103,0.268310546875,-2047.731689453125,4.505625026400203e-19,V1,4.505625026400203e-19,1.0,2.0300656878523837e-37
1100,1187006834.2685547,0.2685546875,-2047.7314453125,4.2075701343589175e-19,V1,4.2075701343589175e-19,1.0,1.770364643554912e-37
1101,1187006834.2687988,0.268798828125,-2047.731201171875,4.663589824407727e-19,V1,4.663589824407727e-19,1.0,2.1749070050319297e-37
1102,1187006834.269043,0.26904296875,-2047.73095703125,4.2011878116702223e-19,V1,4.2011878116702223e-19,1.0,1.7649979028926432e-37
1103,1187006834.269287,0.269287109375,-2047.730712890625,4.4462881817116e-19,V1,4.4462881817116e-19,1.0,1.9769478594828243e-37
1104,1187006834.2695312,0.26953125,-2047.73046875,4.0895759043486424e-19,V1,4.0895759043486424e-19,1.0,1.6724631077429012e-37
1105,1187006834.2697754,0.269775390625,-2047.730224609375,4.256924944183828e-19,V1,4.256924944183828e-19,1.0,1.8121409980414488e-37
1106,1187006834.2700195,0.27001953125,-2047.72998046875,3.9138191001667294e-19,V1,3.9138191001667294e-19,1.0,1.5317979948829904e-37
1107,1187006834.2702637,0.270263671875,-2047.729736328125,3.866907549638661e-19,V1,3.866907549638661e-19,1.0,1.4952973997452474e-37
1108,1187006834.2705078,0.2705078125,-2047.7294921875,3.771442793854157e-19,V1,3.771442793854157e-19,1.0,1.4223780747314446e-37
1109,1187006834.270752,0.270751953125,-2047.729248046875,3.684844389010524e-19,V1,3.684844389010524e-19,1.0,1.357807817122234e-37
1110,1187006834.270996,0.27099609375,-2047.72900390625,3.642053290924263e-19,V1,3.642053290924263e-19,1.0,1.3264552173932256e-37
1111,1187006834.2712402,0.271240234375,-2047.728759765625,3.4545111892654996e-19,V1,3.4545111892654996e-19,1.0,1.193364755676054e-37
1112,1187006834.2714844,0.271484375,-2047.728515625,3.736625003288693e-19,V1,3.736625003288693e-19,1.0,1.3962366415202227e-37
1113,1187006834.2717285,0.271728515625,-2047.728271484375,3.323827622165056e-19,V1,3.323827622165056e-19,1.0,1.1047830061867412e-37
1114,1187006834.271973,0.27197265625,-2047.72802734375,3.6062341315250106e-19,V1,3.6062341315250106e-19,1.0,1.300492461137595e-37
1115,1187006834.2722168,0.272216796875,-2047.727783203125,3.306701023354293e-19,V1,3.306701023354293e-19,1.0,1.0934271657852328e-37
1116,1187006834.272461,0.2724609375,-2047.7275390625,3.5912039706643685e-19,V1,3.5912039706643685e-19,1.0,1.2896745958915527e-37
1117,1187006834.272705,0.272705078125,-2047.727294921875,3.161761094287612e-19,V1,3.161761094287612e-19,1.0,9.9967332173508e-38
1118,1187006834.2729492,0.27294921875,-2047.72705078125,3.196741951161716e-19,V1,3.196741951161716e-19,1.0,1.0219159102317211e-37
1119,1187006834.2731934,0.273193359375,-2047.726806640625,2.9018326096634896e-19,V1,2.9018326096634896e-19,1.0,8.420632494506419e-38
1120,1187006834.2734375,0.2734375,-2047.7265625,2.806471354955385e-19,V1,2.806471354955385e-19,1.0,7.876281466185115e-38
1121,1187006834.2736816,0.273681640625,-2047.726318359375,2.636112415910772e-19,V1,2.636112415910772e-19,1.0,6.949088669318928e-38
1122,1187006834.2739258,0.27392578125,-2047.72607421875,2.4433587442074612e-19,V1,2.4433587442074612e-19,1.0,5.97000195289506e-38
1123,1187006834.27417,0.274169921875,-2047.725830078125,2.665777836092457e-19,V1,2.665777836092457e-19,1.0,7.106371471401782e-38
1124,1187006834.274414,0.2744140625,-2047.7255859375,2.3748715636502564e-19,V1,2.3748715636502564e-19,1.0,5.640014943834613e-38
